Age,Gender,Salary,Department,Experience,Purchased
25,Female,52000,Marketing,2,No
34,Male,78000,Engineering,8,Yes
41,Female,95000,Sales,15,Yes
29,Non-binary,61000,HR,4,No
52,Male,115000,Engineering,22,Yes
22,Female,45000,Marketing,1,No
38,Male,82000,Finance,11,Yes
45,Female,105000,Sales,18,Yes
31,Male,67000,HR,6,No
27,Female,58000,Engineering,3,No
48,Male,120000,Finance,20,Yes
33,Female,72000,Marketing,7,Yes
26,Male,54000,Sales,2,No
55,Female,135000,Engineering,28,Yes
40,Non-binary,89000,Finance,13,No
23,Male,48000,HR,1,No
36,Female,81000,Marketing,9,Yes
30,Male,69000,Sales,5,No
44,Female,102000,Engineering,16,Yes
50,Male,118000,HR,24,Yes
28,Female,56000,Finance,4,No
32,Male,74000,Marketing,6,Yes
42,Female,98000,Sales,14,Yes
35,Male,80000,Engineering,10,No
53,Female,128000,Finance,25,Yes
24,Non-binary,50000,Marketing,2,No
39,Male,87000,HR,12,Yes
46,Female,110000,Sales,19,Yes
29,Male,63000,Engineering,5,No
51,Female,112000,Marketing,21,Yes
37,Male,84000,Finance,11,No
43,Female,96000,HR,15,Yes
26,Male,55000,Sales,3,No
54,Female,132000,Engineering,26,Yes
31,Non-binary,68000,Marketing,7,No
47,Male,115000,Finance,18,Yes
25,Female,53000,HR,2,No
34,Male,79000,Sales,9,Yes
49,Female,122000,Engineering,22,Yes
30,Male,70000,Marketing,6,No
22,Female,46000,Finance,1,No
38,Male,85000,HR,12,Yes
45,Female,108000,Sales,17,Yes
27,Male,59000,Engineering,4,No
56,Female,140000,Marketing,30,Yes
33,Non-binary,75000,Finance,8,No
41,Male,93000,HR,14,Yes
35,Female,83000,Sales,10,No
24,Male,51000,Engineering,2,No
50,Female,125000,Finance,23,Yes
